'freq[cm-1]','tip3p[200ps/hann]', 'spce/qspcfw[200ps/hann]', 'spce/spcfw[200ps/hann]', 'spce[200ps/hann]', 'opc3pol[200ps/hann]'
420.750000,21.440433,6.999956,5.847850,12.428209,4.457660
422.400000,18.868492,6.886762,6.982526,11.638426,4.787611
424.050000,20.507202,6.186145,6.728117,12.605805,4.721697
425.700000,22.711161,5.906525,6.027022,13.692544,3.979238
427.350000,24.414018,6.559832,6.027374,15.784433,3.160507
429.000000,19.584671,5.708653,6.009325,16.763529,2.899712
430.650000,16.385426,4.901716,6.106630,14.367504,2.926022
432.300000,17.987922,6.116579,6.714103,12.590996,3.202547
433.950000,17.180025,7.209179,6.652274,14.803668,3.799875
435.600000,18.749768,7.559231,5.324369,15.472367,4.247688
437.250000,22.868991,6.972348,4.815131,13.068277,4.091760
438.900000,26.534207,6.262926,4.996758,15.532720,4.424748
440.550000,26.705117,6.986893,4.855344,18.747044,5.114431
442.200000,23.150383,7.409658,5.329661,17.770437,4.643220
443.850000,22.525710,6.488891,6.230746,17.082302,3.778260
445.500000,21.789582,6.222827,6.211856,15.038389,3.704826
447.150000,19.954085,6.771939,5.215579,14.999586,4.000722
448.800000,24.851619,7.645496,4.851965,18.632153,4.837493
450.450000,27.836869,8.710600,5.895349,20.664337,5.465201
452.100000,26.350833,8.029705,7.136872,20.572429,4.511135
453.750000,31.977395,6.636431,7.329842,19.416466,3.971258
455.400000,33.743431,6.940881,6.467583,16.905283,4.441396
457.050000,28.548413,8.731672,5.541557,14.654833,4.713951
458.700000,28.069071,10.435199,5.699858,13.151266,4.656729
460.350000,30.020416,10.417451,7.323218,15.196157,4.226905
462.000000,29.916976,9.547201,8.324885,20.741154,4.346707
463.650000,28.696625,8.487563,8.019735,25.118217,4.752658
465.300000,28.022851,7.769844,7.892063,25.231237,4.584176
466.950000,26.665337,7.860169,7.003624,20.897108,4.643835
468.600000,24.287127,7.247274,6.106679,19.973656,5.162112
470.250000,22.695330,7.372200,6.602621,21.077456,5.440904
471.900000,24.025168,9.879412,7.112651,18.725709,5.166226
473.550000,29.022039,11.895987,7.574633,15.499322,3.992940
475.200000,31.332553,10.210293,7.251388,14.330550,3.741039
476.850000,27.790677,8.171606,5.767175,17.956966,4.636048
478.500000,28.270354,9.018545,5.946341,21.416827,4.181118
480.150000,34.003730,9.353540,6.417856,20.144237,4.265652
481.800000,35.134159,8.320020,5.522212,17.897078,5.734325
483.450000,30.397703,8.170017,6.035574,19.472629,5.806210
485.100000,26.921868,9.685539,7.277549,21.484468,4.672344
486.750000,29.071541,10.363858,8.138121,18.962319,3.890998
488.400000,32.339777,8.212306,7.810997,21.024167,3.939967
490.050000,31.372382,7.190852,6.155270,24.287581,4.089527
491.700000,30.758062,8.547601,5.328748,21.321890,4.123018
493.350000,34.445873,9.331096,5.648034,21.755114,5.467982
495.000000,33.062522,10.239441,7.513692,26.352115,7.041504
496.650000,27.799446,10.621413,9.394715,27.235043,7.036656
498.300000,28.778619,9.684581,10.121420,23.190957,7.044142
499.950000,31.751302,9.591673,9.157689,22.440618,7.273197
501.600000,35.793571,9.026042,8.181611,25.488604,5.902248
