'freq[cm-1]','pbe[45ps/hann]'
3769.333333, 0.709168
3776.666667, 0.729978
3784.000000, 0.740134
3791.333333, 0.753129
3798.666667, 0.723918
3806.000000, 0.695601
3813.333333, 0.699340
3820.666667, 0.682258
3828.000000, 0.664273
3835.333333, 0.695925
3842.666667, 0.712160
3850.000000, 0.688370
3857.333333, 0.679520
3864.666667, 0.667169
3872.000000, 0.649970
3879.333333, 0.651767
3886.666667, 0.646013
3894.000000, 0.641144
3901.333333, 0.649347
3908.666667, 0.651516
3916.000000, 0.670032
3923.333333, 0.680572
3930.666667, 0.657852
3938.000000, 0.645380
3945.333333, 0.639182
3952.666667, 0.654520
3960.000000, 0.701733
3967.333333, 0.708922
3974.666667, 0.669705
3982.000000, 0.651279
3989.333333, 0.648172
3996.666667, 0.638108
4004.000000, 0.653280
4011.333333, 0.683661
4018.666667, 0.685251
4026.000000, 0.687421
4033.333333, 0.714794
4040.666667, 0.689134
4048.000000, 0.647731
4055.333333, 0.650808
4062.666667, 0.671021
4070.000000, 0.678645
4077.333333, 0.631537
4084.666667, 0.599842
4092.000000, 0.616000
4099.333333, 0.619681
4106.666667, 0.600406
4114.000000, 0.600814
4121.333333, 0.623530
4128.666667, 0.614268
4136.000000, 0.584665
4143.333333, 0.559790
4150.666667, 0.540467
4158.000000, 0.543435
4165.333333, 0.560694
4172.666667, 0.564078
4180.000000, 0.556924
4187.333333, 0.562899
4194.666667, 0.570253
4202.000000, 0.562002
4209.333333, 0.553667
4216.666667, 0.549283
4224.000000, 0.545170
4231.333333, 0.543490
4238.666667, 0.540017
4246.000000, 0.534047
4253.333333, 0.533716
4260.666667, 0.538688
4268.000000, 0.534708
4275.333333, 0.525217
4282.666667, 0.520978
4290.000000, 0.519176
4297.333333, 0.520460
4304.666667, 0.524181
4312.000000, 0.522479
4319.333333, 0.520153
4326.666667, 0.523340
4334.000000, 0.522634
4341.333333, 0.517292
4348.666667, 0.515487
4356.000000, 0.515808
4363.333333, 0.516635
4370.666667, 0.518544
4378.000000, 0.517998
4385.333333, 0.513801
4392.666667, 0.510669
4400.000000, 0.509960
4407.333333, 0.509406
4414.666667, 0.510595
4422.000000, 0.510955
4429.333333, 0.508566
4436.666667, 0.507555
