'freq[cm-1]','tip3p[200ps/hann/30]', 'spce/qspcfw[200ps/hann/30]', 'spce/spcfw[200ps/hann/30]', 'spce[200ps/hann/30]', 'opc3pol[200ps/hann/30]', 'pbe[45ps/hann/30]'
168.000000,279.192097,83.245418,70.170120,171.693355,67.252310,13.994239
169.000000,280.984138,83.679828,70.560409,172.756077,67.557215,14.066243
170.000000,282.788140,84.115193,70.949505,173.829330,67.859560,14.137560
171.000000,284.581930,84.544632,71.334696,174.900811,68.156546,14.206195
172.000000,286.427825,84.985409,71.727635,176.002321,68.459170,14.276229
173.000000,288.254428,85.418970,72.113913,177.095648,68.753571,14.345378
174.000000,290.134706,85.863047,72.508106,178.221072,69.053573,14.417618
175.000000,292.023376,86.307342,72.900487,179.354814,69.349907,14.485427
176.000000,293.900564,86.746921,73.288094,180.486234,69.640713,14.552261
177.000000,295.828571,87.197978,73.683008,181.649018,69.936715,14.618072
178.000000,297.760891,87.648391,74.075612,182.817197,70.230168,14.682807
179.000000,299.691803,88.096121,74.465481,183.995548,70.518824,14.744569
180.000000,301.647002,88.549728,74.857173,185.192457,70.808845,14.807244
181.000000,303.597029,88.997661,75.243907,186.393080,71.092220,14.872605
182.000000,305.584117,89.456766,75.637129,187.628134,71.379882,14.933299
183.000000,307.576706,89.914263,76.027823,188.875506,71.663237,14.992716
184.000000,309.570004,90.369139,76.415199,190.128454,71.943212,15.050818
185.000000,311.580907,90.827952,76.804036,191.406587,72.222722,15.107564
186.000000,313.586340,91.282713,77.187567,192.684120,72.496483,15.161075
187.000000,315.627010,91.745494,77.577329,194.000685,72.773943,15.215242
188.000000,317.673036,92.207878,77.964670,195.327760,73.046907,15.271542
189.000000,319.718691,92.668387,78.347925,196.660392,73.316060,15.323224
190.000000,321.786762,93.133686,78.732823,198.014192,73.584165,15.373422
191.000000,323.842524,93.594268,79.111602,199.372021,73.846072,15.422115
192.000000,325.933643,94.065161,79.497148,200.764191,74.111534,15.469283
193.000000,328.023024,94.536405,79.879678,202.174531,74.372260,15.513105
194.000000,330.106571,95.002296,80.256164,203.579405,74.626059,15.557409
195.000000,332.230730,95.480860,80.639427,205.020491,74.884268,15.600112
196.000000,334.331942,95.950627,81.013684,206.452476,75.132245,15.645008
197.000000,336.482083,96.433155,81.395149,207.914584,75.384917,15.685045
198.000000,338.635218,96.915118,81.772761,209.383147,75.632570,15.723534
199.000000,340.769081,97.392243,82.144135,210.852103,75.871553,15.760479
200.000000,342.945321,97.882504,82.521733,212.352764,76.114714,15.794044
201.000000,345.099369,98.365252,82.891085,213.843763,76.346884,15.828161
202.000000,347.291897,98.862568,83.266923,215.363389,76.582428,15.860728
203.000000,349.493602,99.360876,83.640028,216.883695,76.812088,15.895795
204.000000,351.683102,99.855163,84.006708,218.400933,77.034078,15.925901
205.000000,353.918749,100.364122,84.381035,219.942940,77.259185,15.954584
206.000000,356.129099,100.866950,84.746612,221.471297,77.473658,15.981870
207.000000,358.386185,101.383664,85.118912,223.025854,77.690949,16.007788
208.000000,360.645881,101.902186,85.488773,224.578425,77.901892,16.030397
209.000000,362.897867,102.419676,85.852591,226.118276,78.105435,16.053927
210.000000,365.195753,102.951778,86.223031,227.677236,78.311590,16.080243
211.000000,367.499227,103.486977,86.590319,229.233006,78.511745,16.101798
212.000000,369.800987,104.024488,86.954910,230.776648,78.706785,16.122197
213.000000,372.130065,104.571767,87.321075,232.330139,78.899772,16.141485
214.000000,374.449553,105.118854,87.681848,233.860703,79.085315,16.159708
215.000000,376.810612,105.680993,88.049630,235.407745,79.274089,16.174817
216.000000,379.175607,106.248442,88.415491,236.942481,79.457242,16.191321
217.000000,381.541446,106.817082,88.778005,238.458501,79.635367,16.211358
218.000000,383.934718,107.397778,89.144673,239.977933,79.812550,16.226646
219.000000,386.312952,107.976168,89.504480,241.468530,79.982318,16.241153
220.000000,388.742864,108.572654,89.872892,242.969223,80.157516,16.254935
221.000000,391.171400,109.172287,90.239670,244.451828,80.328407,16.268044
222.000000,393.590057,109.774606,90.601487,245.908069,80.493381,16.280536
223.000000,396.034678,110.388172,90.967941,247.360223,80.659153,16.290347
224.000000,398.455399,110.999936,91.326679,248.778070,80.817601,16.302032
225.000000,400.922803,111.629246,91.695191,250.200388,80.981564,16.317545
